week_end,week_label,market,investor,basis,sales,purchases,balance
2025-01-24,2025年1月第3週,東証スタンダード,その他法人等,金額,2520.287,4335.758,1815.471
2025-01-24,2025年1月第3週,東証スタンダード,その他金融機関,金額,129.799,102.601,-27.198
2025-01-24,2025年1月第3週,東証スタンダード,事業法人,金額,7907.588,9525.27,1617.682
2025-01-24,2025年1月第3週,東証スタンダード,信託銀行,金額,6384.696,4040.878,-2343.818
2025-01-24,2025年1月第3週,東証スタンダード,個人,金額,323586.598,323667.022,80.424
2025-01-24,2025年1月第3週,東証スタンダード,委託計,金額,665373.556,665832.103,458.547
2025-01-24,2025年1月第3週,東証スタンダード,投資信託,金額,4394.001,3465.626,-928.375
2025-01-24,2025年1月第3週,東証スタンダード,法人,金額,22402.848,21570.97,-831.878
2025-01-24,2025年1月第3週,東証スタンダード,海外投資家,金額,313480.547,315460.521,1979.974
2025-01-24,2025年1月第3週,東証スタンダード,生保・損保,金額,655.796,23.728,-632.068
2025-01-24,2025年1月第3週,東証スタンダード,総計,金額,699347.688,699457.07,109.382
2025-01-24,2025年1月第3週,東証スタンダード,自己計,金額,33974.132,33624.967,-349.165
2025-01-24,2025年1月第3週,東証スタンダード,証券会社,金額,5903.563,5133.59,-769.973
2025-01-24,2025年1月第3週,東証スタンダード,都銀・地銀等,金額,410.681,77.109,-333.572
2025-01-24,2025年1月第3週,東証スタンダード,金融機関,金額,7580.972,4244.316,-3336.656
2025-01-24,2025年1月第3週,東証プライム,その他法人等,金額,52847.537,85654.997,32807.46
2025-01-24,2025年1月第3週,東証プライム,その他金融機関,金額,19538.652,14643.373,-4895.279
2025-01-24,2025年1月第3週,東証プライム,事業法人,金額,222229.536,414472.421,192242.885
2025-01-24,2025年1月第3週,東証プライム,信託銀行,金額,293434.845,265017.897,-28416.948
2025-01-24,2025年1月第3週,東証プライム,個人,金額,6329477.643,5873943.282,-455534.361
2025-01-24,2025年1月第3週,東証プライム,委託計,金額,20585655.752,20620132.802,34477.05
2025-01-24,2025年1月第3週,東証プライム,投資信託,金額,298694.817,268500.728,-30194.089
2025-01-24,2025年1月第3週,東証プライム,法人,金額,965914.889,1068439.093,102524.204
2025-01-24,2025年1月第3週,東証プライム,海外投資家,金額,13200912.936,13589982.122,389069.186
2025-01-24,2025年1月第3週,東証プライム,生保・損保,金額,48996.362,8160.176,-40836.186
2025-01-24,2025年1月第3週,東証プライム,総計,金額,22692130.586,22629385.506,-62745.08
2025-01-24,2025年1月第3週,東証プライム,自己計,金額,2106474.834,2009252.704,-97222.13
2025-01-24,2025年1月第3週,東証プライム,証券会社,金額,89350.284,87768.305,-1581.979
2025-01-24,2025年1月第3週,東証プライム,都銀・地銀等,金額,30173.14,11989.501,-18183.639
2025-01-24,2025年1月第3週,東証プライム,金融機関,金額,392142.999,299810.947,-92332.052
2025-01-31,2025年1月第4週,二市場,その他法人等,金額,60263.18,86677.504,26414.324
2025-01-31,2025年1月第4週,二市場,その他金融機関,金額,22584.966,19961.285,-2623.681
2025-01-31,2025年1月第4週,二市場,事業法人,金額,294165.212,445776.469,151611.257
2025-01-31,2025年1月第4週,二市場,信託銀行,金額,592474.819,498460.288,-94014.531
2025-01-31,2025年1月第4週,二市場,個人,金額,7156069.859,7298506.085,142436.226
2025-01-31,2025年1月第4週,二市場,委託計,金額,24692303.081,24508905.655,-183397.426
2025-01-31,2025年1月第4週,二市場,投資信託,金額,543383.194,488524.879,-54858.315
2025-01-31,2025年1月第4週,二市場,法人,金額,1578582.547,1562789.362,-15793.185
2025-01-31,2025年1月第4週,二市場,海外投資家,金額,15839951.939,15526590.213,-313361.726
2025-01-31,2025年1月第4週,二市場,生保・損保,金額,25421.255,11265.442,-14155.813
2025-01-31,2025年1月第4週,二市場,総計,金額,27270584.771,27226384.745,-44200.026
2025-01-31,2025年1月第4週,二市場,自己計,金額,2578281.69,2717479.09,139197.4
2025-01-31,2025年1月第4週,二市場,証券会社,金額,117698.736,121019.995,3321.259
2025-01-31,2025年1月第4週,二市場,都銀・地銀等,金額,40289.921,12123.495,-28166.426
2025-01-31,2025年1月第4週,二市場,金融機関,金額,680770.961,541810.51,-138960.451
2025-01-31,2025年1月第4週,東証グロース,その他法人等,金額,4382.208,2324.072,-2058.136
2025-01-31,2025年1月第4週,東証グロース,その他金融機関,金額,47.975,40.256,-7.719
2025-01-31,2025年1月第4週,東証グロース,事業法人,金額,5789.49,5877.897,88.407
2025-01-31,2025年1月第4週,東証グロース,信託銀行,金額,8271.293,2556.288,-5715.005
2025-01-31,2025年1月第4週,東証グロース,個人,金額,326606.361,336887.351,10280.99
2025-01-31,2025年1月第4週,東証グロース,委託計,金額,609073.809,608393.852,-679.957
2025-01-31,2025年1月第4週,東証グロース,投資信託,金額,2744.233,5566.75,2822.517
2025-01-31,2025年1月第4週,東証グロース,法人,金額,21304.995,16424.042,-4880.953
2025-01-31,2025年1月第4週,東証グロース,海外投資家,金額,258205.116,252054.356,-6150.76
2025-01-31,2025年1月第4週,東証グロース,生保・損保,金額,64.847,53.379,-11.468
2025-01-31,2025年1月第4週,東証グロース,総計,金額,633942.064,633016.162,-925.902
2025-01-31,2025年1月第4週,東証グロース,自己計,金額,24868.255,24622.31,-245.945
2025-01-31,2025年1月第4週,東証グロース,証券会社,金額,2957.337,3028.103,70.766
2025-01-31,2025年1月第4週,東証グロース,都銀・地銀等,金額,4.949,5.4,0.451
2025-01-31,2025年1月第4週,東証グロース,金融機関,金額,8389.064,2655.323,-5733.741
2025-01-31,2025年1月第4週,東証スタンダード,その他法人等,金額,3120.023,4827.573,1707.55
2025-01-31,2025年1月第4週,東証スタンダード,その他金融機関,金額,61.179,47.5,-13.679
2025-01-31,2025年1月第4週,東証スタンダード,事業法人,金額,12696.668,12616.494,-80.174
2025-01-31,2025年1月第4週,東証スタンダード,信託銀行,金額,42445.937,4874.252,-37571.685
2025-01-31,2025年1月第4週,東証スタンダード,個人,金額,309784.374,325006.718,15222.344
2025-01-31,2025年1月第4週,東証スタンダード,委託計,金額,741112.928,733723.122,-7389.806
2025-01-31,2025年1月第4週,東証スタンダード,投資信託,金額,20239.668,8247.969,-11991.699
2025-01-31,2025年1月第4週,東証スタンダード,法人,金額,81062.282,30734.383,-50327.899
2025-01-31,2025年1月第4週,東証スタンダード,海外投資家,金額,344558.632,372764.324,28205.692
2025-01-31,2025年1月第4週,東証スタンダード,生保・損保,金額,1025.002,51.466,-973.536
2025-01-31,2025年1月第4週,東証スタンダード,総計,金額,801555.462,801785.815,230.353
2025-01-31,2025年1月第4週,東証スタンダード,自己計,金額,60442.534,68062.693,7620.159
2025-01-31,2025年1月第4週,東証スタンダード,証券会社,金額,5707.64,5217.697,-489.943
2025-01-31,2025年1月第4週,東証スタンダード,都銀・地銀等,金額,1473.805,69.129,-1404.676
2025-01-31,2025年1月第4週,東証スタンダード,金融機関,金額,45005.923,5042.347,-39963.576
2025-01-31,2025年1月第4週,東証プライム,その他法人等,金額,52747.043,79465.514,26718.471
2025-01-31,2025年1月第4週,東証プライム,その他金融機関,金額,22475.477,19873.529,-2601.948
2025-01-31,2025年1月第4週,東証プライム,事業法人,金額,275653.796,427263.028,151609.232
2025-01-31,2025年1月第4週,東証プライム,信託銀行,金額,541744.79,491020.874,-50723.916
2025-01-31,2025年1月第4週,東証プライム,個人,金額,6518407.518,6635369.51,116961.992
2025-01-31,2025年1月第4週,東証プライム,委託計,金額,23340681.636,23165364.019,-175317.617
2025-01-31,2025年1月第4週,東証プライム,投資信託,金額,520383.52,474708.236,-45675.284
2025-01-31,2025年1月第4週,東証プライム,法人,金額,1476135.692,1515540.546,39404.854
2025-01-31,2025年1月第4週,東証プライム,海外投資家,金額,15237113.834,14901691.813,-335422.021
2025-01-31,2025年1月第4週,東証プライム,生保・損保,金額,24321.97,11160.596,-13161.374
2025-01-31,2025年1月第4週,東証プライム,総計,金額,25833621.988,25790120.423,-43501.565
2025-01-31,2025年1月第4週,東証プライム,自己計,金額,2492940.352,2624756.404,131816.052
2025-01-31,2025年1月第4週,東証プライム,証券会社,金額,109024.592,112762.15,3737.558
